Employee_ID,Quarter,Age,Years_of_Experience,Department,Education_Level,Job_Level,Attendance_Rate,Absenteeism_Rate,Productivity_Score,Engagement_Score,Workload_Index,Training_Hours,Competency_Score,Collaboration_Score,Work_Quality_Score,Previous_Performance_Score,Performance_Category,ProductivityScore,WorkLifeBalance
E00001,1,30.98,11.76,Sales,PhD,Mid,93.46,7.29,72.37,67.24,49.04,21.67,71.65,55.92,72.67,61.26,2,72.37,0.0
E00001,2,30.98,11.76,Sales,PhD,Mid,90.35,9.67,58.76,70.19,73.35,28.1,72.84,69.14,62.58,75.11,1,58.76,0.0
E00001,3,30.98,11.76,Sales,PhD,Mid,89.84,9.79,60.02,66.11,32.65,8.87,65.89,59.87,75.75,73.98,1,60.02,0.0
E00001,4,30.98,11.76,Sales,PhD,Mid,89.14,11.23,72.6,72.88,70.53,18.88,69.52,81.46,69.97,71.92,1,72.6,0.0
E00001,5,30.98,11.76,Sales,PhD,Mid,93.99,5.83,70.18,63.66,50.86,27.52,78.56,60.85,67.41,72.85,1,70.18,0.0
E00002,1,32.21,9.48,Customer Service,Master,Entry,90.46,9.59,69.45,73.44,61.21,13.1,71.24,60.8,78.82,66.06,2,69.45,0.0
E00002,2,32.21,9.48,Customer Service,Master,Entry,95.68,4.91,64.62,79.75,49.01,11.38,76.43,70.3,74.92,77.72,2,64.62,0.0
E00002,3,32.21,9.48,Customer Service,Master,Entry,88.25,10.9,69.52,71.05,74.98,14.16,80.39,79.06,84.91,77.89,2,69.52,0.0
E00002,4,32.21,9.48,Customer Service,Master,Entry,89.4,11.29,67.31,68.94,51.19,5.88,78.33,76.61,73.81,76.05,2,67.31,0.0
E00002,5,32.21,9.48,Customer Service,Master,Entry,92.32,7.94,71.8,76.98,66.31,19.85,79.67,59.0,78.73,77.71,2,71.8,0.0
E00003,1,21.0,0.0,Finance,Bachelor,Manager,86.23,13.6,58.76,99.42,51.63,12.54,58.62,76.06,67.59,72.26,1,58.76,0.0
E00003,2,21.0,0.0,Finance,Bachelor,Manager,95.43,4.7,54.32,96.75,45.12,10.58,61.72,64.51,76.06,73.46,1,54.32,0.0
E00003,3,21.0,0.0,Finance,Bachelor,Manager,84.81,15.13,76.28,84.64,41.09,17.13,60.58,70.85,68.37,71.03,1,76.28,0.0
E00003,4,21.0,0.0,Finance,Bachelor,Manager,95.03,5.73,71.41,100.0,57.93,2.17,49.34,73.85,74.24,72.26,2,71.41,0.0
E00003,5,21.0,0.0,Finance,Bachelor,Manager,93.79,7.4,73.01,96.52,56.98,15.96,64.88,78.27,76.83,75.17,2,73.01,0.0
E00004,1,21.0,0.0,HR,Master,Senior,88.16,12.69,48.7,48.77,55.38,11.53,57.79,39.89,65.46,55.73,1,48.7,0.0
E00004,2,21.0,0.0,HR,Master,Senior,81.19,18.85,64.85,43.52,60.99,7.83,57.05,64.59,61.83,61.94,1,64.85,0.0
E00004,3,21.0,0.0,HR,Master,Senior,92.86,6.08,62.37,46.5,60.55,23.8,70.19,47.34,73.54,60.37,1,62.37,0.0
E00004,4,21.0,0.0,HR,Master,Senior,91.96,8.71,55.95,51.2,46.88,20.83,65.88,54.98,66.24,68.65,1,55.95,0.0
E00004,5,21.0,0.0,HR,Master,Senior,88.41,10.92,75.61,49.22,48.26,22.77,70.15,71.98,63.37,65.92,2,75.61,0.0
E00005,1,39.37,16.57,Sales,Master,Entry,89.46,11.57,65.09,94.8,49.46,14.97,67.94,84.07,67.84,62.76,2,65.09,0.0
E00005,2,39.37,16.57,Sales,Master,Entry,91.38,8.13,73.38,100.0,63.08,6.65,75.25,58.07,65.26,77.36,2,73.38,0.0
E00005,3,39.37,16.57,Sales,Master,Entry,89.52,10.25,64.06,96.62,50.22,6.14,63.18,61.16,80.42,78.23,2,64.06,0.0
E00005,4,39.37,16.57,Sales,Master,Entry,93.47,5.61,67.83,100.0,45.88,3.41,70.54,79.76,81.35,78.07,2,67.83,0.0
E00005,5,39.37,16.57,Sales,Master,Entry,95.48,3.51,66.27,100.0,40.15,2.26,65.55,90.45,75.61,83.82,2,66.27,0.0
E00006,1,30.99,8.7,IT,Bachelor,Junior,88.76,9.97,64.07,72.43,54.26,15.02,65.61,73.58,72.45,63.22,2,64.07,0.0
E00006,2,30.99,8.7,IT,Bachelor,Junior,88.76,11.69,59.74,67.68,62.17,13.17,68.23,85.69,68.27,75.37,1,59.74,0.0
E00006,3,30.99,8.7,IT,Bachelor,Junior,86.37,13.07,55.03,54.88,40.04,5.42,70.05,56.24,68.84,74.95,0,55.03,0.0
E00006,4,30.99,8.7,IT,Bachelor,Junior,93.68,5.76,71.64,63.49,75.78,39.79,79.7,63.39,74.12,59.98,2,71.64,0.0
E00006,5,30.99,8.7,IT,Bachelor,Junior,96.02,2.96,70.29,71.52,59.8,17.06,70.89,63.87,73.38,80.22,1,70.29,0.0
E00007,1,39.43,16.81,Operations,Bachelor,Junior,89.54,9.78,62.13,71.22,68.42,4.55,53.38,74.31,69.36,61.29,1,62.13,0.0
E00007,2,39.43,16.81,Operations,Bachelor,Junior,88.12,12.07,64.47,65.85,60.82,12.68,55.97,62.61,68.12,66.49,1,64.47,0.0
E00007,3,39.43,16.81,Operations,Bachelor,Junior,91.31,8.31,63.11,77.58,46.84,11.7,59.49,67.39,65.38,70.76,1,63.11,0.0
E00007,4,39.43,16.81,Operations,Bachelor,Junior,94.97,5.16,56.26,61.58,43.49,20.52,59.37,68.96,53.15,72.19,1,56.26,0.0
E00007,5,39.43,16.81,Operations,Bachelor,Junior,94.39,6.3,62.73,66.57,40.91,9.89,56.66,55.87,66.54,66.31,1,62.73,0.0
E00008,1,34.63,9.21,Marketing,Master,Mid,86.38,14.41,63.66,53.94,66.68,11.4,60.66,50.87,65.38,52.71,1,63.66,0.0
E00008,2,34.63,9.21,Marketing,Master,Mid,90.62,9.56,74.85,49.12,68.95,11.42,59.76,72.08,64.93,61.07,1,74.85,0.0
E00008,3,34.63,9.21,Marketing,Master,Mid,89.38,10.7,59.87,44.35,65.39,6.02,56.34,54.12,60.91,68.18,1,59.87,0.0
E00008,4,34.63,9.21,Marketing,Master,Mid,95.53,4.05,63.69,40.76,48.09,27.14,70.05,53.48,74.42,65.51,1,63.69,0.0
E00008,5,34.63,9.21,Marketing,Master,Mid,94.28,4.55,65.89,48.51,43.27,18.94,66.09,69.17,49.85,65.25,1,65.89,0.0
E00009,1,44.01,19.3,IT,Bachelor,Entry,93.84,5.18,76.86,86.48,48.93,8.46,76.77,74.6,73.44,78.63,2,76.86,0.0
E00009,2,44.01,19.3,IT,Bachelor,Entry,97.19,3.8,81.22,82.13,59.01,25.59,88.46,61.55,77.7,83.04,2,81.22,0.0
E00009,3,44.01,19.3,IT,Bachelor,Entry,95.44,5.42,67.84,85.44,70.53,5.03,73.89,63.95,65.46,75.27,2,67.84,0.0
E00009,4,44.01,19.3,IT,Bachelor,Entry,91.53,8.46,73.87,89.17,48.99,15.0,88.92,59.84,72.11,78.29,2,73.87,0.0
